"number","name","type","cost","is_tapped"
4,"Birds of Paradise","spell","G",FALSE
1,"Llanowar Elves","spell","G",FALSE
4,"Albino Troll","spell","1G",FALSE
3,"Yavimaya Elder","spell","1GG",FALSE
4,"Yavimaya Granger","spell","2G",FALSE
4,"Deranged Hermit","spell","3GG",FALSE
1,"Woodripper","spell","3GG",FALSE
4,"Phyrexian Plaguelord","spell","3BB",FALSE
4,"Duress","spell","B",FALSE
2,"Vampiric Tutor","spell","B",FALSE
1,"Tranquil Grove","spell","1G",FALSE
3,"Rapid Decay","spell","1B",FALSE
2,"Diabolic Servitude","spell","3B",FALSE
4,"Treetop Village","land","G",TRUE
2,"Dust Bowl","land","1",FALSE
6,"Swamp","land","B",FALSE
11,"Forest","land","G",FALSE
